date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2019-09-15,Sorghum - Retail,KG,cereals and tubers,1200.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2019-10-15,Sorghum - Retail,KG,cereals and tubers,1150.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2019-11-15,Sorghum - Retail,KG,cereals and tubers,1100.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2020-01-15,Sorghum - Retail,KG,cereals and tubers,1000.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2020-02-15,Sorghum - Retail,KG,cereals and tubers,1050.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2018-10-15,Maize (white) - Retail,KG,cereals and tubers,500.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2018-11-15,Maize (white) - Retail,KG,cereals and tubers,500.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2018-12-15,Maize (white) - Retail,KG,cereals and tubers,500.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2019-01-15,Maize (white) - Retail,KG,cereals and tubers,800.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2019-02-15,Maize (white) - Retail,KG,cereals and tubers,938.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2019-04-15,Maize (white) - Retail,KG,cereals and tubers,1000.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2019-05-15,Maize (white) - Retail,KG,cereals and tubers,1000.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2019-06-15,Maize (white) - Retail,KG,cereals and tubers,1000.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2019-07-15,Maize (white) - Retail,KG,cereals and tubers,1000.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2019-08-15,Maize (white) - Retail,KG,cereals and tubers,1200.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2019-09-15,Maize (white) - Retail,KG,cereals and tubers,1100.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2019-10-15,Maize (white) - Retail,KG,cereals and tubers,1025.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2019-11-15,Maize (white) - Retail,KG,cereals and tubers,1000.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
